virus,location,strain,year,accession_number,collection_date,area
hCoV-19,Switzerland,SZ-ETHZ-100828,2020,EPI_ISL_451777,2020-03-26,Europe
hCoV-19,Panama,332718,2020,EPI_ISL_496719,2020-03-23,NorthAmerica
hCoV-19,England,QEUH-7B91A2,2020,EPI_ISL_532923,2020-07-22,Europe
hCoV-19,USA,VA-DCLS-1134,2020,EPI_ISL_529926,2020-04-24,NorthAmerica
hCoV-19,Scotland,QEUH-95F106,2020,EPI_ISL_532523,2020-08-07,Europe
hCoV-19,England,NOTT-10DEDB,2020,EPI_ISL_425465,2020-03-11,Europe
hCoV-19,Australia,VIC5032,2020,EPI_ISL_519836,2020-07-17,Oceania
hCoV-19,USA,WA-S1809,2020,EPI_ISL_496235,2020-06-02,NorthAmerica
hCoV-19,Australia,VIC2968,2020,EPI_ISL_521798,2020-07-07,Oceania
hCoV-19,Brazil,SP-527,2020,EPI_ISL_471648,2020-04-30,SouthAmerica
hCoV-19,England,BRIS-12D567,2020,EPI_ISL_481792,2020-05-05,Europe
hCoV-19,Northern Ireland,NIRE-10195E,2020,EPI_ISL_489310,2020-05-11,Europe
hCoV-19,England,SHEF-C20FB,2020,EPI_ISL_475358,2020-06-01,Europe
hCoV-19,Indonesia,SU-NIHRD-PME4745,2020,EPI_ISL_538500,2020-00-00,Asia
hCoV-19,England,LEED-2A8396,2020,EPI_ISL_539001,2020-03-20,Europe
hCoV-19,England,OXON-ACC99,2020,EPI_ISL_448523,2020-04-05,Europe
hCoV-19,USA,WA-UW86,2020,EPI_ISL_416442,2020-03-10,NorthAmerica
hCoV-19,USA,AZ-TG270200,2020,EPI_ISL_426533,2020-03-26,NorthAmerica
hCoV-19,England,LIVE-A551D,2020,EPI_ISL_499924,2020-03-20,Europe
hCoV-19,Australia,VIC2661,2020,EPI_ISL_521507,2020-07-01,Oceania
hCoV-19,USA,UT-02579,2020,EPI_ISL_487222,2020-04-25,NorthAmerica
hCoV-19,England,20144008904,2020,EPI_ISL_423502,2020-03-31,Europe
hCoV-19,Netherlands,NA_336,2020,EPI_ISL_455141,2020-04-03,Europe
hCoV-19,Northern Ireland,NIRE-FAFFD,2020,EPI_ISL_448940,2020-03-24,Europe
hCoV-19,Israel,2020063,2020,EPI_ISL_447414,2020-03-17,Asia
hCoV-19,Scotland,CVR3065,2020,EPI_ISL_461649,2020-04-24,Europe
hCoV-19,Scotland,QEUH-963A6E,2020,EPI_ISL_534369,2020-08-12,Europe
hCoV-19,England,CAMB-73008,2020,EPI_ISL_440226,2020-03-23,Europe
hCoV-19,England,CAMB-7C2FA,2020,EPI_ISL_434025,2020-04-14,Europe
hCoV-19,England,CAMB-76858,2020,EPI_ISL_438468,2020-03-29,Europe
hCoV-19,England,LIVE-A6181,2020,EPI_ISL_499689,2020-03-21,Europe
hCoV-19,Australia,VIC317,2020,EPI_ISL_420008,2020-03-24,Oceania
hCoV-19,England,QEUH-7A0645,2020,EPI_ISL_533130,2020-07-15,Europe
hCoV-19,Canada,BC_16537755,2020,EPI_ISL_468680,2020-04-00,NorthAmerica
hCoV-19,Wales,PHWC-2873A,2020,EPI_ISL_431959,2020-03-31,Europe
hCoV-19,England,LOND-124D4E8,2020,EPI_ISL_507104,2020-05-19,Europe
hCoV-19,Netherlands,Zeeland_36,2020,EPI_ISL_461275,2020-04-28,Europe
hCoV-19,England,GSTT-265E1D7,2020,EPI_ISL_484167,2020-03-31,Europe
hCoV-19,Saudi Arabia,KAUST-Makkah124,2020,EPI_ISL_437691,2020-03-24,Asia
hCoV-19,Denmark,ALAB-SSI514,2020,EPI_ISL_429582,2020-03-16,Europe
hCoV-19,USA,TX-HMH0354,2020,EPI_ISL_434948,2020-03-29,NorthAmerica
hCoV-19,India,TG-CCMB-K499,2020,EPI_ISL_447865,2020-04-14,Asia
hCoV-19,England,SHEF-D02F4,2020,EPI_ISL_479269,2020-06-04,Europe
hCoV-19,England,20119085304,2020,EPI_ISL_465115,2020-03-15,Europe
hCoV-19,Wales,PHWC-31349,2020,EPI_ISL_446434,2020-04-12,Europe
hCoV-19,Netherlands,ZuidHolland_138,2020,EPI_ISL_461311,2020-05-06,Europe
hCoV-19,England,BRIS-12F84E,2020,EPI_ISL_488250,2020-03-26,Europe
hCoV-19,Iceland,351,2020,EPI_ISL_424375,2020-03-00,Europe
hCoV-19,Wales,PHWC-23DF1,2020,EPI_ISL_418115,2020-03-13,Europe
hCoV-19,Switzerland,BL-ETHZ-200039,2020,EPI_ISL_510727,2020-07-16,Europe
hCoV-19,USA,VA-DCLS-0386,2020,EPI_ISL_467783,2020-04-17,NorthAmerica
hCoV-19,Wales,PHWC-26B12,2020,EPI_ISL_422024,2020-03-29,Europe
hCoV-19,Scotland,EDB6158,2020,EPI_ISL_473894,2020-05-14,Europe
hCoV-19,Greece,247_32207,2020,EPI_ISL_447647,2020-03-10,Europe
hCoV-19,Belgium,ULG-10257,2020,EPI_ISL_515064,2020-07-17,Europe
hCoV-19,England,QEUH-96C555,2020,EPI_ISL_530886,2020-08-13,Europe
hCoV-19,England,QEUH-5FFCCF,2020,EPI_ISL_533245,2020-06-28,Europe
hCoV-19,USA,MI-MDHHS-SC20692,2020,EPI_ISL_471716,2020-05-20,NorthAmerica
hCoV-19,Switzerland,BS-UHB-42183764,2020,EPI_ISL_527970,2020-03-10,Europe
hCoV-19,England,CAMB-1B5704,2020,EPI_ISL_499966,2020-07-10,Europe
hCoV-19,Netherlands,Utrecht_10028,2020,EPI_ISL_454777,2020-04-01,Europe
hCoV-19,England,SHEF-C65F8,2020,EPI_ISL_432821,2020-03-21,Europe
hCoV-19,Australia,VIC2450,2020,EPI_ISL_522156,2020-06-28,Oceania
hCoV-19,USA,LA-GBCL-26629192,2020,EPI_ISL_485214,2020-04-24,NorthAmerica
hCoV-19,Scotland,CVR544,2020,EPI_ISL_433311,2020-03-24,Europe
hCoV-19,Australia,VIC2377,2020,EPI_ISL_522097,2020-06-29,Oceania
hCoV-19,Belgium,ULG-10255,2020,EPI_ISL_515062,2020-07-17,Europe
hCoV-19,USA,NY-PV09358,2020,EPI_ISL_450046,2020-03-16,NorthAmerica
hCoV-19,Australia,VIC4929,2020,EPI_ISL_519303,2020-07-14,Oceania
hCoV-19,England,CAMB-1AD8DF,2020,EPI_ISL_448021,2020-05-01,Europe
hCoV-19,England,LIVE-A9BBD,2020,EPI_ISL_517333,2020-03-24,Europe
hCoV-19,India,OR-RMRC103,2020,EPI_ISL_455749,2020-05-06,Asia
hCoV-19,England,QEUH-96017B,2020,EPI_ISL_531864,2020-08-06,Europe
hCoV-19,Singapore,505,2020,EPI_ISL_479583,2020-06-06,Asia
hCoV-19,Scotland,QEUH-98FEE8,2020,EPI_ISL_534448,2020-08-30,Europe
hCoV-19,USA,TX-DSHS-0144,2020,EPI_ISL_522970,2020-05-28,NorthAmerica
hCoV-19,Spain,PV-IBV-2077,2020,EPI_ISL_468872,2020-04-10,Europe
hCoV-19,Bangladesh,BCSIR-NILMRC-182,2020,EPI_ISL_483630,2020-06-20,Asia
hCoV-19,USA,VA-DCLS-0506,2020,EPI_ISL_485818,2020-05-29,NorthAmerica
hCoV-19,England,BRIS-12EF0E,2020,EPI_ISL_488437,2020-04-23,Europe
hCoV-19,USA,MA-MGH-00304,2020,EPI_ISL_460430,2020-04-01,NorthAmerica
hCoV-19,USA,TX-HMH0282,2020,EPI_ISL_434910,2020-03-27,NorthAmerica
hCoV-19,Scotland,EDB1014,2020,EPI_ISL_439144,2020-04-07,Europe
hCoV-19,England,BRIS-12F6CC,2020,EPI_ISL_488262,2020-03-06,Europe
hCoV-19,Spain,CL-IBV-97006326,2020,EPI_ISL_537682,2020-05-08,Europe
hCoV-19,Australia,VIC5131,2020,EPI_ISL_519934,2020-07-18,Oceania
hCoV-19,England,LOND-124C67A,2020,EPI_ISL_490421,2020-00-00,Europe
hCoV-19,Spain,MD-IBV-004944,2020,EPI_ISL_481090,2020-04-12,Europe
hCoV-19,Switzerland,BS-UHB-42200093,2020,EPI_ISL_528268,2020-03-20,Europe
hCoV-19,England,BRIS-124454,2020,EPI_ISL_492778,2020-04-08,Europe
hCoV-19,USA,UT-0884,2020,EPI_ISL_435385,2020-04-06,NorthAmerica
hCoV-19,Canada,QC-LSPQ-L00219335,2020,EPI_ISL_535791,2020-03-14,NorthAmerica
hCoV-19,Scotland,CVR3370,2020,EPI_ISL_456800,2020-05-06,Europe
hCoV-19,USA,LA-GBCL-26791723,2020,EPI_ISL_485342,2020-04-09,NorthAmerica
hCoV-19,Israel,2089718,2020,EPI_ISL_447366,2020-04-01,Asia
hCoV-19,USA,UT-UPHL-2009268,2020,EPI_ISL_525251,2020-05-14,NorthAmerica
hCoV-19,South Korea,KCDC2163,2020,EPI_ISL_506957,2020-03-09,Asia
hCoV-19,Scotland,CVR2640,2020,EPI_ISL_478000,2020-04-17,Europe
hCoV-19,England,LEED-2A9F55,2020,EPI_ISL_538959,2020-04-09,Europe
hCoV-19,England,CAMB-7DAA6,2020,EPI_ISL_442223,2020-04-06,Europe
hCoV-19,USA,CO-CSU-C0363-2,2020,EPI_ISL_527403,2020-04-15,NorthAmerica
hCoV-19,USA,MI-MDHHS-SC21582,2020,EPI_ISL_516309,2020-03-23,NorthAmerica
hCoV-19,England,20132017904,2020,EPI_ISL_423730,2020-03-22,Europe
hCoV-19,Iceland,507,2020,EPI_ISL_424529,2020-03-20,Europe
hCoV-19,Austria,CeMM0112,2020,EPI_ISL_437970,2020-03-17,Europe
hCoV-19,USA,MI-MDHHS-SC20982,2020,EPI_ISL_507769,2020-05-14,NorthAmerica
hCoV-19,USA,TX-HMH0322,2020,EPI_ISL_434934,2020-03-28,NorthAmerica
hCoV-19,Scotland,CVR3416,2020,EPI_ISL_456839,2020-05-07,Europe
hCoV-19,England,LIVE-A741E,2020,EPI_ISL_517019,2020-03-28,Europe
hCoV-19,Wales,PHWC-2764D,2020,EPI_ISL_432211,2020-03-30,Europe
hCoV-19,England,NORT-289243,2020,EPI_ISL_453499,2020-03-28,Europe
hCoV-19,England,20144022504,2020,EPI_ISL_423520,2020-03-30,Europe
hCoV-19,Wales,PHWC-1654EE,2020,EPI_ISL_479473,2020-05-17,Europe
hCoV-19,India,UP-NCDC-02321,2020,EPI_ISL_435100,2020-03-29,Asia
hCoV-19,Scotland,EDB3546,2020,EPI_ISL_487880,2020-04-13,Europe
hCoV-19,Wales,PHWC-168EDE,2020,EPI_ISL_499363,2020-05-13,Europe
hCoV-19,Brazil,SC-0243,2020,EPI_ISL_470652,2020-03-18,SouthAmerica
hCoV-19,USA,OR-PROV-135,2020,EPI_ISL_482397,2020-05-01,NorthAmerica
hCoV-19,Wales,PHWC-160A96,2020,EPI_ISL_473008,2020-05-23,Europe
hCoV-19,Portugal,PT1098,2020,EPI_ISL_511645,2020-03-16,Europe
hCoV-19,Wales,PHWC-265D8,2020,EPI_ISL_422250,2020-03-27,Europe
hCoV-19,Netherlands,Utrecht_8,2020,EPI_ISL_414441,2020-03-03,Europe
hCoV-19,England,BRIS-124D1D,2020,EPI_ISL_443809,2020-03-26,Europe
hCoV-19,USA,WA-S2324,2020,EPI_ISL_496956,2020-06-11,NorthAmerica
hCoV-19,USA,MN-MDH-1168,2020,EPI_ISL_476753,2020-05-14,NorthAmerica
hCoV-19,South Korea,KCDC2292,2020,EPI_ISL_510628,2020-05-21,Asia
hCoV-19,England,20099000504,2020,EPI_ISL_464200,2020-02-27,Europe
