virus,location,strain,year,accession_number,collection_date,area
hCoV-19,England,NORT-2896CF,2020,EPI_ISL_458649,2020-03-31,Europe
hCoV-19,England,CAMB-1B0E5F,2020,EPI_ISL_452968,2020-05-12,Europe
hCoV-19,Australia,VIC2880,2020,EPI_ISL_521711,2020-06-29,Oceania
hCoV-19,England,NORT-282CE2,2020,EPI_ISL_472227,2020-03-29,Europe
hCoV-19,England,QEUH-95F92C,2020,EPI_ISL_532494,2020-08-06,Europe
hCoV-19,USA,FL-BPHL-0394,2020,EPI_ISL_489803,2020-03-17,NorthAmerica
hCoV-19,Scotland,EDB6586,2020,EPI_ISL_478267,2020-05-13,Europe
hCoV-19,USA,VA-DCLS-0641,2020,EPI_ISL_495313,2020-04-11,NorthAmerica
hCoV-19,England,GSTT-265E1AA,2020,EPI_ISL_484164,2020-03-31,Europe
hCoV-19,England,QEUH-548939,2020,EPI_ISL_533352,2020-05-13,Europe
hCoV-19,Italy,ABR-IZSGC-TE26540,2020,EPI_ISL_436728,2020-04-27,Europe
hCoV-19,USA,CA-ALSR-0772-SAN,2020,EPI_ISL_483348,2020-04-10,NorthAmerica
hCoV-19,SaudiArabia,KAUST-JEDDAH528,2020,EPI_ISL_512945,2020-04-23,Asia
hCoV-19,England,OXON-B228F,2020,EPI_ISL_479133,2020-04-23,Europe
hCoV-19,Australia,VIC4555,2020,EPI_ISL_518965,2020-07-14,Oceania
hCoV-19,England,20109006104,2020,EPI_ISL_452255,2020-03-04,Europe
hCoV-19,USA,MI-MDHHS-SC20598,2020,EPI_ISL_462680,2020-04-29,NorthAmerica
hCoV-19,Wales,PHWC-33D76,2020,EPI_ISL_446818,2020-04-14,Europe
hCoV-19,Turkey,KU-010,2020,EPI_ISL_495420,2020-05-17,Europe
hCoV-19,Bahrain,920268866,2020,EPI_ISL_510531,2020-06-23,Asia
hCoV-19,England,CAMB-1AAAAF,2020,EPI_ISL_470168,2020-04-19,Europe
hCoV-19,Finland,6A959SIIC,2020,EPI_ISL_481711,2020-04-06,Europe
hCoV-19,USA,WA-S1911,2020,EPI_ISL_496337,2020-05-29,NorthAmerica
hCoV-19,Switzerland,BE-ETHZ-210060,2020,EPI_ISL_510793,2020-07-20,Europe
hCoV-19,Northern Ireland,QEUH-96C31F,2020,EPI_ISL_530890,2020-08-13,Europe
hCoV-19,Brazil,MG-CV19,2020,EPI_ISL_429679,2020-03-16,SouthAmerica
hCoV-19,Australia,SAP062,2020,EPI_ISL_451101,2020-03-28,Oceania
hCoV-19,Portugal,PT0699,2020,EPI_ISL_510958,2020-03-14,Europe
hCoV-19,USA,VA-DCLS-0418,2020,EPI_ISL_477634,2020-04-26,NorthAmerica
hCoV-19,Switzerland,BE-ETHZ-260155_982_H10,2020,EPI_ISL_539450,2020-08-26,Europe
hCoV-19,USA,NY-NYUMC564,2020,EPI_ISL_444681,2020-03-30,NorthAmerica
hCoV-19,Canada,QC-LSPQ-L00235107,2020,EPI_ISL_536086,2020-03-23,NorthAmerica
hCoV-19,Brazil,RJ-INCA-I57,2020,EPI_ISL_513583,2020-05-05,SouthAmerica
hCoV-19,England,CAMB-84A7F,2020,EPI_ISL_440505,2020-03-10,Europe
hCoV-19,England,CAMB-814B0,2020,EPI_ISL_442527,2020-04-10,Europe
hCoV-19,Wales,PHWC-168BE6,2020,EPI_ISL_494344,2020-04-01,Europe
hCoV-19,Oman,RESP-20-3515,2020,EPI_ISL_457980,2020-03-18,Asia
hCoV-19,England,201101364,2020,EPI_ISL_464658,2020-03-09,Europe
hCoV-19,Northern Ireland,QEUH-96DAA0,2020,EPI_ISL_530729,2020-08-20,Europe
hCoV-19,USA,UT-02597,2020,EPI_ISL_522262,2020-04-26,NorthAmerica
hCoV-19,Scotland,EDB5200,2020,EPI_ISL_493948,2020-05-19,Europe
hCoV-19,Wales,PHWC-23FEC,2020,EPI_ISL_418135,2020-03-15,Europe
hCoV-19,England,CAMB-7FD41,2020,EPI_ISL_470431,2020-04-10,Europe
hCoV-19,Spain,CT-ISCIII-2013595,2020,EPI_ISL_539547,2020-06-28,Europe
hCoV-19,USA,MN-MDH-1306,2020,EPI_ISL_495605,2020-04-18,NorthAmerica
hCoV-19,Switzerland,BE-ETHZ-150015plus,2020,EPI_ISL_483654,2020-06-08,Europe
hCoV-19,Wales,PHWC-2BC74,2020,EPI_ISL_445827,2020-04-09,Europe
hCoV-19,USA,MN-MDH-1147,2020,EPI_ISL_476732,2020-04-30,NorthAmerica
hCoV-19,Wales,PHWC-24C4E,2020,EPI_ISL_420933,2020-03-21,Europe
hCoV-19,USA,MI-MDHHS-SC20168,2020,EPI_ISL_436879,2020-03-27,NorthAmerica
hCoV-19,USA,WA-S1017,2020,EPI_ISL_463507,2020-04-30,NorthAmerica
hCoV-19,Bangladesh,BCSIR-NILMRC-282,2020,EPI_ISL_498466,2020-07-21,Asia
hCoV-19,Australia,VIC5321,2020,EPI_ISL_520084,2020-00-00,Oceania
hCoV-19,Switzerland,ZH-ETHZ-250107,2020,EPI_ISL_535622,2020-08-20,Europe
hCoV-19,England,CAMB-1ACABC,2020,EPI_ISL_489479,2020-04-23,Europe
hCoV-19,Switzerland,BE-ETHZ-230062,2020,EPI_ISL_516598,2020-08-05,Europe
hCoV-19,Northern Ireland,NIRE-1021CE,2020,EPI_ISL_441389,2020-03-14,Europe
hCoV-19,England,20134021104,2020,EPI_ISL_423113,2020-03-24,Europe
hCoV-19,India,TG-CCMB-J232,2020,EPI_ISL_447576,2020-04-02,Asia
hCoV-19,Scotland,EDB3837,2020,EPI_ISL_439335,2020-04-30,Europe
hCoV-19,Netherlands,NoordBrabant_110,2020,EPI_ISL_461146,2020-03-04,Europe
hCoV-19,South Africa,R10799,2020,EPI_ISL_490307,2020-06-17,Africa
hCoV-19,Portugal,PT0799,2020,EPI_ISL_511058,2020-03-19,Europe
hCoV-19,USA,MI-MDHHS-SC21393,2020,EPI_ISL_507647,2020-03-22,NorthAmerica
hCoV-19,Wales,PHWC-34892,2020,EPI_ISL_446987,2020-04-20,Europe
hCoV-19,USA,CA-ALSR-1586,2020,EPI_ISL_494674,2020-04-28,NorthAmerica
hCoV-19,DRC,4060,2020,EPI_ISL_471405,2020-04-27,Africa
hCoV-19,England,20124001302,2020,EPI_ISL_418684,2020-03-17,Europe
hCoV-19,USA,WA-S2030,2020,EPI_ISL_497458,2020-06-06,NorthAmerica
hCoV-19,England,OXON-ADD77,2020,EPI_ISL_448634,2020-00-00,Europe
hCoV-19,England,QEUH-8950CC,2020,EPI_ISL_532759,2020-07-24,Europe
hCoV-19,England,QEUH-9641E0,2020,EPI_ISL_536857,2020-08-12,Europe
hCoV-19,USA,VA-DCLS-0629,2020,EPI_ISL_495302,2020-04-10,NorthAmerica
hCoV-19,Spain,MD-H12-40,2020,EPI_ISL_529975,2020-04-05,Europe
hCoV-19,Iceland,74,2020,EPI_ISL_417701,2020-03-09,Europe
hCoV-19,England,BRIS-12BCDD,2020,EPI_ISL_469390,2020-05-15,Europe
hCoV-19,Luxembourg,LNS1667297,2020,EPI_ISL_445065,2020-04-17,Europe
hCoV-19,England,SHEF-C57E4,2020,EPI_ISL_479215,2020-06-02,Europe
hCoV-19,Netherlands,NB-EMC-208,2020,EPI_ISL_523331,2020-00-00,Europe
hCoV-19,Northern Ireland,QEUH-961CE2,2020,EPI_ISL_536977,2020-08-03,Europe
hCoV-19,Portugal,PT1312,2020,EPI_ISL_511271,2020-03-17,Europe
hCoV-19,England,LIVE-A8644,2020,EPI_ISL_517193,2020-03-26,Europe
hCoV-19,USA,WA-S1894,2020,EPI_ISL_496320,2020-05-28,NorthAmerica
hCoV-19,India,OR-RMRC162,2020,EPI_ISL_455762,2020-05-07,Asia
hCoV-19,Wales,PHWC-16329B,2020,EPI_ISL_473271,2020-05-14,Europe
hCoV-19,Belgium,rega-0414476,2020,EPI_ISL_476986,2020-04-14,Europe
hCoV-19,Spain,PV-IBV-000839,2020,EPI_ISL_452706,2020-03-11,Europe
hCoV-19,England,20149009004,2020,EPI_ISL_466142,2020-03-30,Europe
hCoV-19,USA,CA-ALSR-1311,2020,EPI_ISL_494489,2020-04-30,NorthAmerica
hCoV-19,Singapore,413,2020,EPI_ISL_475944,2020-04-21,Asia
hCoV-19,USA,UT-UPHL-2008878,2020,EPI_ISL_524992,2020-05-26,NorthAmerica
hCoV-19,USA,WA-UW-2244,2020,EPI_ISL_426127,2020-03-25,NorthAmerica
hCoV-19,Austria,CeMM0277,2020,EPI_ISL_438104,2020-03-25,Europe
hCoV-19,England,NORT-281C3E,2020,EPI_ISL_478475,2020-03-23,Europe
hCoV-19,England,200990002,2020,EPI_ISL_414522,2020-02-28,Europe
hCoV-19,Wales,PHWC-2617A,2020,EPI_ISL_422094,2020-03-25,Europe
hCoV-19,Singapore,441,2020,EPI_ISL_475972,2020-04-08,Asia
hCoV-19,Wales,PHWC-27A50,2020,EPI_ISL_431960,2020-03-30,Europe
hCoV-19,England,OXON-B1763,2020,EPI_ISL_479042,2020-04-25,Europe
hCoV-19,USA,WA-S879,2020,EPI_ISL_463369,2020-04-23,NorthAmerica
hCoV-19,Scotland,CVR882,2020,EPI_ISL_439128,2020-03-28,Europe
hCoV-19,England,CAMB-1ADE19,2020,EPI_ISL_459412,2020-04-25,Europe
hCoV-19,England,PORT-2D1112,2020,EPI_ISL_475329,2020-03-21,Europe
hCoV-19,Bangladesh,DNAS-CPH-471,2020,EPI_ISL_445214,2020-04-28,Asia
hCoV-19,USA,IN-CDC-2006,2020,EPI_ISL_452136,2020-03-09,NorthAmerica
hCoV-19,Belgium,VMC-0325337,2020,EPI_ISL_462191,2020-03-25,Europe
hCoV-19,Singapore,862,2020,EPI_ISL_527371,2020-04-12,Asia
hCoV-19,Scotland,EDB6066,2020,EPI_ISL_478203,2020-05-09,Europe
hCoV-19,USA,FL-BPHL-0226,2020,EPI_ISL_480877,2020-04-22,NorthAmerica
hCoV-19,USA,NY-NYUMC664,2020,EPI_ISL_444781,2020-03-18,NorthAmerica
hCoV-19,Bangladesh,BARJ-CVASU-CTG-518,2020,EPI_ISL_450345,2020-05-10,Asia
hCoV-19,England,CAMB-7379A,2020,EPI_ISL_425236,2020-03-30,Europe
hCoV-19,Panama,333430,2020,EPI_ISL_496742,2020-03-26,NorthAmerica
hCoV-19,England,BRIS-18538DE,2020,EPI_ISL_492262,2020-04-15,Europe
hCoV-19,Malaysia,IMR_WC99045,2020,EPI_ISL_490100,2020-05-23,Asia
hCoV-19,England,NORW-EDA56,2020,EPI_ISL_490514,2020-00-00,Europe
hCoV-19,England,BRIS-129C48,2020,EPI_ISL_458416,2020-04-15,Europe
hCoV-19,England,OXON-B2D7F,2020,EPI_ISL_534813,2020-03-25,Europe
hCoV-19,USA,WA-S1802,2020,EPI_ISL_496228,2020-06-02,NorthAmerica
hCoV-19,England,BIRM-5E9CC,2020,EPI_ISL_447926,2020-04-27,Europe
hCoV-19,Netherlands,NA_561,2020,EPI_ISL_460726,2020-04-11,Europe
hCoV-19,Israel,701002591,2020,EPI_ISL_447287,2020-03-26,Asia
hCoV-19,India,KA-nimh-10102,2020,EPI_ISL_486385,2020-05-01,Asia
hCoV-19,England,CAMB-7B316,2020,EPI_ISL_433941,2020-04-11,Europe
hCoV-19,Australia,VIC2346,2020,EPI_ISL_522067,2020-06-25,Oceania
hCoV-19,England,CAMB-1AEFCA,2020,EPI_ISL_459265,2020-04-29,Europe
hCoV-19,India,OR-RMRC163,2020,EPI_ISL_455763,2020-05-07,Asia
hCoV-19,USA,UT-03470,2020,EPI_ISL_450539,2020-03-15,NorthAmerica
hCoV-19,England,BRIS-13007F,2020,EPI_ISL_492545,2020-04-11,Europe
hCoV-19,New Zealand,20VR1827,2020,EPI_ISL_456272,2020-03-27,Oceania
hCoV-19,USA,IL-QDX-176,2020,EPI_ISL_494512,2020-04-28,NorthAmerica
hCoV-19,Belgium,Rega-0329244,2020,EPI_ISL_458214,2020-03-29,Europe
hCoV-19,England,BRIS-1271F0,2020,EPI_ISL_469532,2020-04-23,Europe
hCoV-19,USA,CA-SR0385,2020,EPI_ISL_458264,2020-04-28,NorthAmerica
hCoV-19,USA,WA6-UW3,2020,EPI_ISL_413457,2020-02-29,NorthAmerica
hCoV-19,USA,WA-S1599,2020,EPI_ISL_496025,2020-05-26,NorthAmerica
hCoV-19,Northern Ireland,QEUH-965194,2020,EPI_ISL_531134,2020-08-13,Europe
hCoV-19,Spain,CL-IBV-97006209,2020,EPI_ISL_537355,2020-04-13,Europe
hCoV-19,Peru,LIM-INS-102,2020,EPI_ISL_536501,2020-05-02,SouthAmerica
hCoV-19,England,BRIS-1854275,2020,EPI_ISL_492355,2020-04-28,Europe
hCoV-19,USA,MI-MDHHS-SC21625,2020,EPI_ISL_516352,2020-03-29,NorthAmerica
hCoV-19,Wales,PHWC-2EB38,2020,EPI_ISL_446118,2020-04-08,Europe
hCoV-19,England,CAMB-7A04D,2020,EPI_ISL_441337,2020-04-02,Europe
hCoV-19,England,QEUH-969F0F,2020,EPI_ISL_530887,2020-08-12,Europe
hCoV-19,Austria,CeMM0285,2020,EPI_ISL_438111,2020-03-26,Europe
hCoV-19,Wuhan,HB-WHCM-102,2020,EPI_ISL_454988,2020-03-02,Asia
hCoV-19,USA,CA-ALSR-0766-SAN,2020,EPI_ISL_483345,2020-04-16,NorthAmerica
hCoV-19,England,EXET-1357A2,2020,EPI_ISL_457097,2020-04-12,Europe
hCoV-19,Australia,VIC3593,2020,EPI_ISL_520339,2020-07-09,Oceania
hCoV-19,England,SHEF-C1663,2020,EPI_ISL_441909,2020-04-10,Europe
hCoV-19,Wales,PHWC-165026,2020,EPI_ISL_479412,2020-04-25,Europe
hCoV-19,Russia,Sverdlovsk-71904,2020,EPI_ISL_428873,2020-03-19,Europe
hCoV-19,Canada,BC_09671877,2020,EPI_ISL_467308,2020-04-00,NorthAmerica
hCoV-19,USA,AK-PHL283,2020,EPI_ISL_437518,2020-04-26,NorthAmerica
hCoV-19,England,BRIS-1253ED,2020,EPI_ISL_443996,2020-03-28,Europe
hCoV-19,England,CAMB-7B871,2020,EPI_ISL_442066,2020-04-04,Europe
hCoV-19,England,BRIS-18536C5,2020,EPI_ISL_492301,2020-04-10,Europe
hCoV-19,USA,WA-S877,2020,EPI_ISL_463367,2020-04-15,NorthAmerica
hCoV-19,England,LEED-2AA561,2020,EPI_ISL_538814,2020-04-06,Europe
hCoV-19,India,GJ-GBRC157b,2020,EPI_ISL_461487,2020-05-27,Asia
hCoV-19,USA,UT-04118,2020,EPI_ISL_487249,2020-05-13,NorthAmerica
hCoV-19,England,20124096402,2020,EPI_ISL_418732,2020-03-13,Europe
hCoV-19,England,BRIS-12C86F,2020,EPI_ISL_469496,2020-05-13,Europe
hCoV-19,Northern Ireland,NIRE-FE621,2020,EPI_ISL_489273,2020-05-04,Europe
hCoV-19,Canada,ON-OICR-SLB2823,2020,EPI_ISL_538351,2020-04-02,NorthAmerica
hCoV-19,Netherlands,NA_249,2020,EPI_ISL_422783,2020-03-29,Europe
hCoV-19,England,NORW-E87EB,2020,EPI_ISL_448236,2020-00-00,Europe
hCoV-19,Oman,RESP-20-B-15173,2020,EPI_ISL_518826,2020-05-21,Asia
hCoV-19,India,KA-nimh-7817,2020,EPI_ISL_486399,2020-04-29,Asia
hCoV-19,England,LIVE-9C7E6,2020,EPI_ISL_449580,2020-03-23,Europe
hCoV-19,Finland,21A19S11,2020,EPI_ISL_481607,2020-04-21,Europe
hCoV-19,Switzerland,BE-ETHZ-240061,2020,EPI_ISL_523901,2020-08-13,Europe
hCoV-19,England,CAMB-1B5A29,2020,EPI_ISL_514448,2020-08-06,Europe
hCoV-19,USA,CA-ALSR-1272,2020,EPI_ISL_494470,2020-05-08,NorthAmerica
hCoV-19,Wales,PHWC-1682E1,2020,EPI_ISL_494224,2020-04-20,Europe
hCoV-19,USA,MN-MDH-1333,2020,EPI_ISL_496919,2020-03-18,NorthAmerica
hCoV-19,England,20140007302,2020,EPI_ISL_421925,2020-03-28,Europe
hCoV-19,Netherlands,NB-EMC-265,2020,EPI_ISL_523388,2020-00-00,Europe
hCoV-19,USA,LA-GBCL-26492503,2020,EPI_ISL_485058,2020-04-24,NorthAmerica
hCoV-19,USA,CA-CZB-1836,2020,EPI_ISL_486150,2020-04-28,NorthAmerica
hCoV-19,England,20118132404,2020,EPI_ISL_464966,2020-03-12,Europe
hCoV-19,England,20130064004,2020,EPI_ISL_423649,2020-03-22,Europe
hCoV-19,Spain,MD-IBV-004938,2020,EPI_ISL_481064,2020-04-10,Europe
hCoV-19,Canada,QC-LSPQ-L00216993,2020,EPI_ISL_535755,2020-03-13,NorthAmerica
hCoV-19,USA,WA-UW262,2020,EPI_ISL_418047,2020-03-16,NorthAmerica
hCoV-19,USA,FL-BPHL-1034,2020,EPI_ISL_517924,2020-07-22,NorthAmerica
hCoV-19,England,LIVE-A9E0F,2020,EPI_ISL_517367,2020-03-24,Europe
hCoV-19,Australia,VIC5472,2020,EPI_ISL_520221,2020-07-20,Oceania
hCoV-19,Australia,VIC199,2020,EPI_ISL_419895,2020-03-19,Oceania
hCoV-19,Iceland,204,2020,EPI_ISL_417826,2020-03-16,Europe
hCoV-19,Australia,VIC6669,2020,EPI_ISL_521425,2020-07-20,Oceania
hCoV-19,Denmark,ALAB-SSI-828,2020,EPI_ISL_444926,2020-03-30,Europe
hCoV-19,Scotland,EDB5506,2020,EPI_ISL_487761,2020-04-24,Europe
hCoV-19,Kazakhstan,26506,2020,EPI_ISL_454511,2020-04-26,Asia
hCoV-19,Australia,NSW298,2020,EPI_ISL_451562,2020-04-04,Oceania
hCoV-19,England,SHEF-C3CC9,2020,EPI_ISL_432780,2020-04-15,Europe
hCoV-19,Wales,PHWC-2B00F,2020,EPI_ISL_432263,2020-04-07,Europe
hCoV-19,England,LEED-2AA5CB,2020,EPI_ISL_538893,2020-04-03,Europe
hCoV-19,India,TG-CCMB-M499,2020,EPI_ISL_495213,2020-06-10,Asia
hCoV-19,Netherlands,Gelderland_143,2020,EPI_ISL_460903,2020-05-22,Europe
hCoV-19,USA,WA-S2520,2020,EPI_ISL_497152,2020-06-15,NorthAmerica
hCoV-19,Australia,WA10,2020,EPI_ISL_420539,2020-03-14,Oceania
hCoV-19,Singapore,281,2020,EPI_ISL_462399,2020-04-14,Asia
hCoV-19,Switzerland,ZH-ETHZ-260151_980_D05,2020,EPI_ISL_539446,2020-08-26,Europe
hCoV-19,USA,WI-UW-116,2020,EPI_ISL_425173,2020-03-30,NorthAmerica
hCoV-19,England,OXON-B4A2B,2020,EPI_ISL_534987,2020-04-07,Europe
hCoV-19,Japan,P4-2,2020,EPI_ISL_419302,2020-03-12,Asia
hCoV-19,England,20188142804,2020,EPI_ISL_465517,2020-04-30,Europe
hCoV-19,USA,CA-SCCPHD-UC122,2020,EPI_ISL_435601,2020-03-05,NorthAmerica
hCoV-19,Spain,VC-IBV-98003081,2020,EPI_ISL_538017,2020-03-14,Europe
hCoV-19,Canada,QC-LSPQ-L00220933,2020,EPI_ISL_535806,2020-03-15,NorthAmerica
hCoV-19,Wales,PHWC-26435,2020,EPI_ISL_422334,2020-03-27,Europe
hCoV-19,USA,WI-UW-246,2020,EPI_ISL_428342,2020-03-28,NorthAmerica
hCoV-19,Australia,VIC5824,2020,EPI_ISL_518618,2020-00-00,Oceania
hCoV-19,Australia,VIC5188,2020,EPI_ISL_519953,2020-07-20,Oceania
hCoV-19,Australia,VIC4398,2020,EPI_ISL_519694,2020-07-14,Oceania
hCoV-19,Wales,PHWC-33CD3,2020,EPI_ISL_446811,2020-04-18,Europe
hCoV-19,Spain,VC-IBV-98003078,2020,EPI_ISL_538015,2020-03-14,Europe
hCoV-19,England,NORT-283294,2020,EPI_ISL_488605,2020-03-28,Europe
hCoV-19,Wales,PHWC-167FEB,2020,EPI_ISL_494187,2020-05-30,Europe
hCoV-19,Australia,VIC3664,2020,EPI_ISL_520402,2020-07-10,Oceania
hCoV-19,India,MH-GA100,2020,EPI_ISL_511941,2020-06-17,Asia
hCoV-19,Scotland,EDB3191,2020,EPI_ISL_489056,2020-04-06,Europe
hCoV-19,India,MH-NCCS-NR2255,2020,EPI_ISL_497873,2020-05-21,Asia
hCoV-19,USA,WA-S855,2020,EPI_ISL_463345,2020-04-24,NorthAmerica
hCoV-19,Peru,LIM-INS-041,2020,EPI_ISL_514226,2020-04-11,SouthAmerica
hCoV-19,England,CAMB-842A4,2020,EPI_ISL_443476,2020-04-16,Europe
hCoV-19,USA,WA-S14,2020,EPI_ISL_417067,2020-03-03,NorthAmerica
hCoV-19,Australia,VIC4818,2020,EPI_ISL_519203,2020-07-15,Oceania
hCoV-19,Canada,ON_QGLO-035,2020,EPI_ISL_459886,2020-03-30,NorthAmerica
hCoV-19,England,CAMB-1AB5DA,2020,EPI_ISL_470120,2020-04-21,Europe
hCoV-19,Scotland,CVR3476,2020,EPI_ISL_461703,2020-05-11,Europe
hCoV-19,Brazil,MG-CV33,2020,EPI_ISL_429689,2020-03-17,SouthAmerica
hCoV-19,Australia,NSW103,2020,EPI_ISL_427657,2020-03-10,Oceania
hCoV-19,Saudi Arabia,KAUST-MAKKAH735,2020,EPI_ISL_513231,2020-04-16,Asia
hCoV-19,USA,WA-S671,2020,EPI_ISL_449841,2020-04-08,NorthAmerica
hCoV-19,England,BRIS-125BA9,2020,EPI_ISL_443826,2020-03-30,Europe
hCoV-19,England,CAMB-1B25D0,2020,EPI_ISL_456698,2020-05-18,Europe
hCoV-19,Netherlands,NA_190,2020,EPI_ISL_422725,2020-03-23,Europe
hCoV-19,Scotland,CVR388,2020,EPI_ISL_439070,2020-03-22,Europe
hCoV-19,Canada,QC_AO6,2020,EPI_ISL_463921,2020-04-08,NorthAmerica
hCoV-19,India,UT-AR14,2020,EPI_ISL_508161,2020-06-06,Asia
hCoV-19,USA,FL-BPHL-0195,2020,EPI_ISL_480846,2020-04-05,NorthAmerica
hCoV-19,England,LEED-2A8DF2,2020,EPI_ISL_539218,2020-04-04,Europe
hCoV-19,Northern Ireland,NIRE-FAE3C,2020,EPI_ISL_448927,2020-03-26,Europe
hCoV-19,USA,MN-MDH-1307,2020,EPI_ISL_495606,2020-04-06,NorthAmerica
hCoV-19,Russia,Kabardino-Balkaria-80503,2020,EPI_ISL_428898,2020-03-23,Europe
hCoV-19,Netherlands,Gelderland_112,2020,EPI_ISL_460873,2020-05-22,Europe
hCoV-19,Chile,Punta_Arenas_3,2020,EPI_ISL_445280,2020-03-17,SouthAmerica
hCoV-19,Peru,LIM-INS-090,2020,EPI_ISL_536489,2020-07-04,SouthAmerica
hCoV-19,USA,WA-S965,2020,EPI_ISL_463455,2020-05-01,NorthAmerica
hCoV-19,England,LEED-2AA604,2020,EPI_ISL_538821,2020-04-13,Europe
hCoV-19,England,NORW-EC644,2020,EPI_ISL_457543,2020-05-09,Europe
hCoV-19,South Africa,R10268,2020,EPI_ISL_490266,2020-05-27,Africa
hCoV-19,USA,WI-UW-464,2020,EPI_ISL_484839,2020-06-07,NorthAmerica
hCoV-19,India,GJ-GBRC185a,2020,EPI_ISL_469025,2020-06-03,Asia
hCoV-19,USA,NY-NYUMC608,2020,EPI_ISL_444725,2020-04-02,NorthAmerica
hCoV-19,Northern Ireland,NIRE-103FA5,2020,EPI_ISL_482049,2020-04-08,Europe
hCoV-19,South Korea,KCDC2058,2020,EPI_ISL_481378,2020-02-22,Asia
hCoV-19,Israel,51140315,2020,EPI_ISL_447324,2020-03-18,Asia
hCoV-19,Russia,Novy_Urengoy-RII24775S,2020,EPI_ISL_507218,2020-05-00,Europe
hCoV-19,USA,NY-Wadsworth-15616-01,2020,EPI_ISL_426310,2020-03-14,NorthAmerica
hCoV-19,Australia,TAS157,2020,EPI_ISL_522614,2020-04-18,Oceania
hCoV-19,USA,UT-UPHL-2009292,2020,EPI_ISL_525270,2020-05-14,NorthAmerica
hCoV-19,Singapore,89,2020,EPI_ISL_435694,2020-04-22,Asia
hCoV-19,England,BRIS-127B2F,2020,EPI_ISL_469802,2020-04-17,Europe
hCoV-19,Spain,VC-FISABIO-613,2020,EPI_ISL_447531,2020-03-31,Europe
hCoV-19,Brazil,SP-294,2020,EPI_ISL_527862,2020-03-30,SouthAmerica
hCoV-19,England,CAMB-7CCCF,2020,EPI_ISL_441647,2020-04-05,Europe
hCoV-19,Singapore,484,2020,EPI_ISL_492979,2020-03-21,Asia
hCoV-19,USA,TX-DSHS-0142,2020,EPI_ISL_522968,2020-05-07,NorthAmerica
hCoV-19,Denmark,ALAB-SSI486,2020,EPI_ISL_429564,2020-03-26,Europe
hCoV-19,USA,MA-MGH-00199,2020,EPI_ISL_460468,2020-03-27,NorthAmerica
hCoV-19,USA,NM-UNM-00030,2020,EPI_ISL_467611,2020-03-17,NorthAmerica
hCoV-19,Spain,VC-FISABIO-106,2020,EPI_ISL_436201,2020-03-18,Europe
hCoV-19,England,LIVE-9F33A,2020,EPI_ISL_453448,2020-05-01,Europe
hCoV-19,India,TG-NGC-CDFD-29,2020,EPI_ISL_466867,2020-05-30,Asia
hCoV-19,India,GJ-GBRC250b,2020,EPI_ISL_483834,2020-06-12,Asia
hCoV-19,Wales,PHWC-290D4,2020,EPI_ISL_445479,2020-04-03,Europe
hCoV-19,USA,FL-BPHL-0747,2020,EPI_ISL_512553,2020-06-20,NorthAmerica
hCoV-19,USA,FL-BPHL-0255,2020,EPI_ISL_480906,2020-05-05,NorthAmerica
hCoV-19,Scotland,QEUH-94118F,2020,EPI_ISL_532633,2020-07-28,Europe
hCoV-19,India,GJ-GBRC292b,2020,EPI_ISL_495031,2020-06-15,Asia
hCoV-19,India,UN-2020c32,2020,EPI_ISL_420556,2020-00-00,Asia
hCoV-19,USA,TX-DSHS-0269,2020,EPI_ISL_527836,2020-06-13,NorthAmerica
hCoV-19,USA,NY-Wadsworth-43604-01,2020,EPI_ISL_525665,2020-04-10,NorthAmerica
hCoV-19,England,CAMB-1AFA7D,2020,EPI_ISL_459278,2020-05-01,Europe
hCoV-19,Hangzhou,HZCDC7184F,2020,EPI_ISL_482583,2020-03-22,Asia
hCoV-19,England,BRIS-12BDBC,2020,EPI_ISL_469427,2020-05-08,Europe
hCoV-19,Canada,NL_90,2020,EPI_ISL_469232,2020-03-21,NorthAmerica
hCoV-19,England,ALDP-9826A1,2020,EPI_ISL_529519,2020-08-09,Europe
hCoV-19,England,PORT-2D0DB5,2020,EPI_ISL_475284,2020-03-30,Europe
hCoV-19,Senegal,65601,2020,EPI_ISL_485713,2020-06-14,Africa
hCoV-19,USA,OR-OHSU-0221,2020,EPI_ISL_509073,2020-04-03,NorthAmerica
hCoV-19,England,NORT-296CBE,2020,EPI_ISL_484277,2020-04-28,Europe
hCoV-19,DRC,11583,2020,EPI_ISL_527542,2020-05-25,Africa
hCoV-19,Scotland,QEUH-96A2C9,2020,EPI_ISL_534388,2020-08-13,Europe
hCoV-19,USA,MI-MDHHS-SC20260,2020,EPI_ISL_447059,2020-03-15,NorthAmerica
hCoV-19,Japan,PG-0072,2020,EPI_ISL_479827,2020-02-27,Asia
hCoV-19,Scotland,CVR1325,2020,EPI_ISL_433541,2020-03-31,Europe
hCoV-19,England,CAMB-721AC,2020,EPI_ISL_439559,2020-03-28,Europe
hCoV-19,USA,FL-Miami-06_UMTL-A6U7,2020,EPI_ISL_479772,2020-04-15,NorthAmerica
hCoV-19,Japan,PG-0279,2020,EPI_ISL_479959,2020-03-19,Asia
hCoV-19,USA,VA_NIDDL_3086,2020,EPI_ISL_491928,2020-04-09,NorthAmerica
hCoV-19,England,NORT-28928F,2020,EPI_ISL_458640,2020-03-28,Europe
hCoV-19,England,CAMB-827B6,2020,EPI_ISL_443630,2020-04-13,Europe
